t_n,r_n,p_n,F(t_n)
0.9500000000000001,1.279554232490886,0.3056914863522295,-2.3261606927791547
0.96,1.2824948393197693,0.28248420349162906,-2.31529587934093
0.97,1.2852039165607185,0.25938382079904143,-2.3047806591765942
0.98,1.28768251573575,0.23638611902244788,-2.2947596961421186
0.99,1.2899316389411675,0.2134855539114079,-2.2853533260658825
1.0,1.2919522268139783,0.19067548061380915,-2.276661333453867
1.01,1.2937451485534435,0.16794834342799256,-2.268766103709452
1.02,1.2953111936825379,0.14529583669175916,-2.26173524353723
1.03,1.2966510652872787,0.12270904174204182,-2.255623746406237
1.04,1.297765374517379,0.10017854417793252,-2.2504757664156227
1.05,1.2986546361708375,0.07769453508448537,-2.2463260522738064
1.06,1.2993192652190686,0.05524689940789891,-2.243201083043486
1.07,1.2997595741589953,0.03282529430005031,-2.241119938526234
1.08,1.2999757711050695,0.010419219960423654,-2.2400949293990973
1.09,1.2999679585582038,-0.011981914712747201,-2.2401320052350733
1.1,1.2997361328108146,-0.03438872949954406,-2.241230952124298
1.11,1.2992801839682129,-0.056811811187984534,-2.243385385563798
1.12,1.2985998965870547,-0.07926165080786339,-2.246582538411972
1.1300000000000001,1.2976949509520554,-0.10174857768905257,-2.2508028378258627
1.1400000000000001,1.2965649250332736,-0.1242826881733371,-2.256019259031042
1.1500000000000001,1.2952092971885887,-0.14687376665512228,-2.2621964373259957
1.16,1.2936274497001712,-0.16953119640522796,-2.269289512695141
1.17,1.2918186732604842,-0.19226385733660498,-2.2772426735802638
1.18,1.2897821725534393,-0.21508000749201173,-2.285987357501085
1.19,1.287517073110644,-0.23798714455980294,-2.2954400560571546
1.2,1.285022429662243,-0.2609918431405371,-2.3054996600896778
1.21,1.282297236247833,-0.2840995627765053,-2.3160442671039605
1.22,1.2793404384067129,-0.3073144208974597,-2.326927357086925
1.23,1.2761509478298838,-0.3306389238039197,-2.337973224205076
1.24,1.2727276599306343,-0.35407364757554916,-2.348971530120822
1.25,1.2690694748783726,-0.3776168593231718,-2.3596708194037106
1.26,1.2651753227441707,-0.4012640674619917,-2.3697708083602813
1.27,1.2610441935291328,-0.42500748763021534,-2.378913225284439
1.28,1.2566751729915664,-0.44883540846946124,-2.386670942564736
1.29,1.2520674853597433,-0.47273143868009504,-2.3925350995620214
1.3,1.2472205442179642,-0.4966736135308182,-2.39589987058261
1.31,1.2421340130891267,-0.5206333353161481,-2.396044486483375
1.32,1.2368078775116411,-0.5445741181227606,-2.3921120748391322
1.33,1.2312425307266714,-0.5684501027363438,-2.383084847877507
1.34,1.225438875456914,-0.5922043027192431,-2.367755148702354
1.35,1.2193984446722865,-0.6157665378574079,-2.3446918789306075
1.36,1.213123544699766,-0.6390510067338053,-2.3122018963488733
1.37,1.2066174245376105,-0.6619534468232761,-2.268286121545277
1.3800000000000001,1.1998844757633005,-0.6843478293014601,-2.2105903740915194
1.3900000000000001,1.1929304679515813,-0.7060825383598055,-2.1363514375775545
1.4000000000000001,1.1857628249961045,-0.7269759936464859,-2.0423396197585264
1.41,1.1783909480786519,-0.7468116930033892,-1.924800251622139
1.42,1.170826591136037,-0.7653326858377978,-1.77939831525957
1.43,1.163084294361896,-0.7822355419025846,-1.6011728976977917
1.44,1.1551818802979854,-0.7971639646470693,-1.3845116511991522
1.45,1.1471410150689547,-0.8097023234113988,-1.1231601016667603
1.46,1.1389878338297574,-0.8193695569133626,-0.8102865987259995
1.47,1.1307536239306877,-0.8256141440471045,-0.43863082802239184
1.48,1.1224755509488153,-0.827811155838661,-0.0007715302889099718
1.49,1.1141974008139144,-0.8252627935046871,0.5104439970836947
1.5,1.1059702950787218,-0.8172042607191692,1.101262560019891
1.51,1.0978533155995311,-0.8028172569161035,1.776138200593235
1.52,1.0899139499403998,-0.781253702459107,2.5365726908060635
1.53,1.082228241550349,-0.7516723346936194,3.3797008622914637
1.54,1.0748805032465274,-0.7132902903086324,4.296708014705929
1.55,1.0679624357441762,-0.6654504118606849,5.271267674883585
1.56,1.0615714950093136,-0.6077025225206052,6.27831019313236
1.57,1.055808385293764,-0.5398932421270802,7.283545885572623
1.58,1.0507736301667718,-0.46225442925523563,8.24421668879629
1.59,1.0465632967086593,-0.37547600185355645,9.11146879153954
1.6,1.0432641101297009,-0.2807463032983658,9.834470919498585
1.61,1.040948370642692,-0.17974417528225356,10.365954683723862
1.62,1.0396692266240557,-0.07457274862363317,10.668330648000218
1.6300000000000001,1.0394569156702194,0.03236458939347914,10.719136955422243
1.6400000000000001,1.0403165184119254,0.13853288838331018,10.514522842543968
1.6500000000000001,1.0422275734378856,0.24145481358479134,10.069862197752265
1.6600000000000001,1.045145614683621,0.338890786433258,9.417332371941066
1.67,1.0490053891665507,0.42898294464083037,8.601099269573407
1.68,1.0537252735764375,0.510344960863236,7.67130397490771
1.69,1.0592122883838153,0.5820923119901644,6.678166250477971
1.7,1.0653671198162409,0.6438193239317176,5.667236137832656
1.71,1.0720886748624496,0.6955371273648994,4.676324548803703
1.72,1.0792778623635388,0.7375894863183936,3.734147241895137
1.73,1.0868404645888174,0.7705620813760551,2.86037176963716
1.74,1.0946891039910598,0.7951969707889452,2.066606112940863
1.75,1.1027444040045962,0.8123193723320261,1.3578741956753033
1.76,1.1109354914377,0.8227798406530745,0.7342194685343704
1.77,1.1192000008176575,0.8274119447424187,0.19220134933446964
